"State","Measure ID","Measure Name","Number of Hospitals Worse","Number_of_Hospitals_Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Start Date","End Date","Number of Hospitals Fewer","Number of Hospitals Average","Number of Hospitals More","Number of Hospitals Too Small"
MD,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,35,0,11,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,READM_30_CABG,Rate of readmission for CABG,0,10,0,0,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,43,2,2,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,40,5,1,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,38,1,6,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),1,40,6,0,,07/01/2019,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,43,2,1,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,4,5,3,21
ME,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,3,22,6,3
ME,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,7,23,3,1
ME,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,20,0,3,,01/01/2018,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,15,0,14,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,14,0,14,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,17,0,8,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,11,1,21,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,READM_30_CABG,Rate of readmission for CABG,0,3,0,0,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,31,0,3,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,29,2,3,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,19,1,10,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,31,2,1,,07/01/2019,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,32,1,1,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,6,32,18,59
MI,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,17,63,23,21
MI,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,28,58,30,9
MI,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,110,1,9,,01/01/2018,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,60,0,50,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,60,0,50,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,2,81,0,33,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,56,0,59,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,READM_30_CABG,Rate of readmission for CABG,0,30,0,4,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,107,0,18,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,4,93,6,21,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,3,91,1,20,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),4,112,3,12,,07/01/2019,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,2,112,2,9,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,5,12,3,61
MN,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,7,45,2,71
MN,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,14,50,5,57
MN,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,67,0,29,,01/01/2018,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,36,0,64,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,35,0,64,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,39,1,50,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,20,0,61,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,READM_30_CABG,Rate of readmission for CABG,0,13,0,1,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,45,0,81,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,52,2,71,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,51,0,37,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,81,0,45,,07/01/2019,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,69,0,57,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,8,28,14,41
MO,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,9,63,15,24
MO,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,20,60,28,4
MO,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,90,0,7,,01/01/2018,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,35,0,41,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,35,0,41,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,60,2,24,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,50,0,41,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,READM_30_CABG,Rate of readmission for CABG,0,27,0,6,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,95,0,15,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,2,83,2,24,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,1,62,0,18,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),2,96,1,9,,07/01/2019,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,3,105,0,4,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2017,12/01/2019,Not Available,Not Available,Not Available,Not Available
MP,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2017,12/01/2019,Not Available,Not Available,Not Available,Not Available
MP,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2017,12/01/2019,Not Available,Not Available,Not Available,Not Available
MP,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",Not Available,Not Available,Not Available,Not Available,5,01/01/2018,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,Not Available,Not Available,Not Available,Not Available,5,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),Not Available,Not Available,Not Available,Not Available,5,07/01/2019,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,0,18,5,41
MS,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,7,42,16,26
MS,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,7,52,22,11
MS,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,46,0,15,,01/01/2018,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,15,0,23,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,16,0,23,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,2,32,0,16,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,23,0,41,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,READM_30_CABG,Rate of readmission for CABG,0,14,0,3,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,66,0,22,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,3,62,0,26,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,26,0,9,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),2,74,0,16,,07/01/2019,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,4,77,0,11,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,3,6,0,20
MT,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,3,17,0,38
MT,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,5,29,0,26
MT,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,20,0,6,,01/01/2018,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,14,0,20,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,14,0,20,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,13,0,12,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,9,0,20,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,READM_30_CABG,Rate of readmission for CABG,0,5,0,0,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,25,0,30,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,20,0,38,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,24,0,3,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,33,1,27,,07/01/2019,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,34,0,26,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,6,42,5,44
NC,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,12,72,13,9
NC,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,16,67,20,4
NC,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,93,0,7,,01/01/2018,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,43,0,37,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,43,0,37,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,76,5,15,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,52,1,44,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,READM_30_CABG,Rate of readmission for CABG,0,22,0,0,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,94,2,9,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,93,4,9,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,2,79,0,9,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),1,103,2,3,,07/01/2019,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,100,2,4,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,1,5,0,21
ND,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,1,13,2,28
ND,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,2,24,5,13
ND,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,16,0,8,,01/01/2018,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,8,0,18,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,8,0,18,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,5,0,11,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,6,0,21,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,READM_30_CABG,Rate of readmission for CABG,0,6,0,0,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,14,0,29,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,16,0,28,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,10,0,1,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,29,0,15,,07/01/2019,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,30,1,13,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,2,14,1,35
NE,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,5,24,2,52
NE,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,10,47,8,19
NE,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,60,0,18,,01/01/2018,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,11,0,53,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,11,0,53,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,24,0,50,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,17,0,35,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,READM_30_CABG,Rate of readmission for CABG,0,8,0,0,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,36,0,46,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,29,2,52,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,36,1,21,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,64,2,22,,07/01/2019,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,65,0,19,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,2,7,2,15
NH,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,2,16,7,1
NH,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,5,14,7,0
NH,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,18,0,2,,01/01/2018,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,15,0,9,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,15,0,9,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,12,0,10,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,11,0,15,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,READM_30_CABG,Rate of readmission for CABG,0,4,0,0,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,25,0,1,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,2,22,1,1,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
